[13:37:06] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[13:37:06] [ServerMain/INFO]: Loaded 1290 recipes
[13:37:06] [ServerMain/INFO]: Loaded 1399 advancements
[13:37:07] [Server thread/INFO]: Starting minecraft server version 1.21.1
[13:37:07] [Server thread/INFO]: Loading properties
[13:37:07] [Server thread/INFO]: Default game type: SURVIVAL
[13:37:07] [Server thread/INFO]: Generating keypair
[13:37:07] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:37:07] [Server thread/INFO]: Using epoll channel type
[13:37:07] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[13:37:07] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[13:37:07] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[13:37:07] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[13:37:07] [Server thread/INFO]: Preparing level "world"
[13:37:07] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[13:37:07] [IO-Worker-1/ERROR]: Chunk [6, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [6, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [6, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [7, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [7, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [7, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [8, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [8, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [8, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [7, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [8, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [9, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [9, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [9, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [9, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [5, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [5, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [5, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [5, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [6, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [7, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [5, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [6, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [8, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [9, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [7, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [8, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [9, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [10, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [10, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [10, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [10, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [10, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [4, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [4, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [4, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [5, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [6, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [7, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [4, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [5, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [6, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [8, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [9, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [10, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [10, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [11, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [11, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [11, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [11, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [11, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [3, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [3, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [3, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [3, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-3/ERROR]: Chunk [3, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [3, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [5, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [6, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [7, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [8, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [9, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [4, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [5, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [6, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [7, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [8, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [9, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [10, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [11, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [11, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [11, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [3, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [10, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [11, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -28] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -27] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -26] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -25] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -24] has invalid chunk stream version 42
[13:37:07] [IO-Worker-1/ERROR]: Chunk [-4, -23] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -22] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -21] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-4, -20] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-4, -19] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -41] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -40] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -39] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -38] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -37] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -36] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -35] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -34] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -33] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -32] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -31] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -30] has invalid chunk stream version 42
[13:37:07] [IO-Worker-2/ERROR]: Chunk [-3, -29] has invalid chunk stream version 42
[13:37:07] [IO-Worker-4/ERROR]: Chunk [-3, -28] has invalid chunk stream version 42
